#danRer7.ensGene.name	danRer7.ensGene.chrom	danRer7.ensGene.strand	danRer7.ensGene.txStart	danRer7.ensGene.txEnd	danRer7.ensGene.cdsStart	danRer7.ensGene.cdsEnd	danRer7.ensGene.exonCount	danRer7.ensGene.exonStarts	danRer7.ensGene.exonEnds	danRer7.ensGene.name2	danRer7.ensemblToGeneName.value	danRer7.geneSymbol
ENSDART00000112899	chr1	-	25135779	25175791	25135779	25175791	2	25135779,25174966,	25135824,25175791,	ENSDARG00000077817	cxxc4	cxxc4
ENSDART00000126345	chr1	+	41941655	41955238	41941655	41955238	4	41941655,41951624,41951879,41952389,	41941684,41951659,41952110,41955238,	ENSDARG00000090867	CABZ01060296.1	CABZ01060296.1
ENSDART00000132405	chr1	+	50321543	50410570	50322024	50393582	11	50321543,50323684,50327722,50376641,50384688,50384995,50387281,50388021,50392530,50393547,50409289,	50322231,50323751,50327850,50376774,50384782,50385109,50387444,50388129,50392579,50393588,50410570,	ENSDARG00000031894	lef1	lef1
ENSDART00000081122	chr1	-	58699445	58722879	58701200	58722813	12	58699445,58701794,58703435,58704007,58704253,58704985,58705146,58706146,58707103,58708456,58710228,58722607,	58701468,58702001,58703563,58704140,58704360,58705062,58705266,58706351,58707238,58708574,58710339,58722879,	ENSDARG00000058270	COLGALT1 (1 of 3)	COLGALT1 (1 of 3)
ENSDART00000108919	chr1	+	2058746	2151759	2078169	2151554	3	2058746,2078153,2151302,	2058923,2078343,2151759,	ENSDARG00000074381	farp1	farp1
ENSDART00000141036	chr1	+	2058757	2198469	2198469	2198469	7	2058757,2188705,2188925,2189509,2190238,2193014,2198463,	2058891,2188753,2189015,2189592,2190351,2193178,2198469,	ENSDARG00000074381	farp1	farp1
ENSDART00000143361	chr1	+	2058759	2165912	2078169	2165912	13	2058759,2078153,2151302,2151727,2153799,2157128,2158205,2159691,2161421,2162141,2162583,2164428,2164643,	2058923,2078343,2151407,2151770,2153878,2157226,2158320,2159839,2161517,2162305,2162652,2164504,2165912,	ENSDARG00000074381	farp1	farp1
ENSDART00000142944	chr1	+	2058759	2200996	2078169	2200558	27	2058759,2078153,2151302,2151727,2153799,2157128,2158205,2159691,2161421,2162141,2162583,2164428,2164643,2177067,2180454,2183159,2186340,2187123,2188467,2188684,2188925,2189509,2190238,2193014,2198463,2198712,2200476,	2058923,2078343,2151407,2151770,2153878,2157226,2158320,2159839,2161517,2162305,2162652,2164504,2164842,2177243,2180544,2183293,2186422,2187361,2188598,2188753,2189015,2189592,2190351,2193178,2198571,2198864,2200996,	ENSDARG00000074381	farp1	farp1
ENSDART00000108619	chr1	+	2078169	2200558	2078169	2200558	26	2078169,2151302,2151727,2153799,2157128,2158205,2159691,2161421,2162138,2162583,2164428,2164634,2177067,2180454,2183159,2186340,2187123,2188467,2188684,2188925,2189509,2190238,2193014,2198463,2198712,2200476,	2078343,2151407,2151770,2153878,2157226,2158320,2159839,2161517,2162305,2162652,2164504,2164842,2177255,2180544,2183293,2186422,2187361,2188598,2188753,2189015,2189592,2190351,2193178,2198571,2198864,2200558,	ENSDARG00000074381	farp1	farp1
ENSDART00000141238	chr1	-	10308296	10556009	10308652	10556009	44	10308296,10311407,10311973,10314200,10316097,10316406,10320146,10322734,10324484,10327758,10334494,10335005,10338573,10339542,10340561,10351361,10353469,10364214,10368501,10372474,10378105,10390113,10390746,10400114,10400823,10402926,10413944,10416153,10422480,10425118,10434150,10439777,10446164,10451080,10453691,10454459,10458562,10464365,10471598,10474780,10523973,10547887,10549842,10555850,	10308922,10311537,10312094,10314338,10316262,10316532,10320308,10322872,10324671,10327874,10334589,10335066,10338640,10339613,10340665,10351563,10353664,10364313,10368691,10372590,10378343,10390264,10390865,10400236,10401015,10403019,10414140,10416269,10422662,10425259,10434298,10439914,10446338,10451183,10453859,10454576,10458760,10464449,10471789,10474895,10524107,10548035,10549949,10556009,	ENSDARG00000062854	sdk1b	sdk1b
