#dm3.ensGene.name	dm3.ensGene.chrom	dm3.ensGene.strand	dm3.ensGene.txStart	dm3.ensGene.txEnd	dm3.ensGene.cdsStart	dm3.ensGene.cdsEnd	dm3.ensGene.exonCount	dm3.ensGene.exonStarts	dm3.ensGene.exonEnds	dm3.ensGene.name2	dm3.ensemblToGeneName.value	dm3.geneSymbol
FBtr0309803	chr4	+	90286	134454	93055	129118	12	90286,92946,93442,95693,103263,106337,106478,107642,115048,115462,120031,128028,	90475,93220,93488,95791,103372,106425,106559,107792,115241,115628,120101,134454,	FBgn0085432	pan	pan
FBtr0089116	chr4	+	251355	266529	252579	266389	11	251355,252560,252904,254890,255489,257020,257894,260939,263891,264259,265805,	251521,252603,253474,254971,255570,257101,258185,261024,264211,264374,266529,	FBgn0039897	CG1674	CG1674
FBtr0300796	chr4	+	252051	266529	252579	266389	12	252051,252560,252904,254890,257020,257894,260939,261270,263086,263795,264259,265805,	252226,252603,253474,254971,257101,258185,261024,261459,263305,264211,264374,266529,	FBgn0039897	CG1674	CG1674
FBtr0300798	chr4	+	252051	266529	252579	266389	12	252051,252560,252904,254890,257020,257894,260939,261270,263086,263795,264259,265805,	252253,252603,253474,254971,257101,258185,261024,261459,263305,264211,264374,266529,	FBgn0039897	CG1674	CG1674
FBtr0300799	chr4	+	252051	266529	252579	266389	10	252051,252560,254890,257020,257894,260939,261270,263891,264259,265805,	252253,252603,254971,257101,258185,261024,261459,264211,264374,266529,	FBgn0039897	CG1674	CG1674
FBtr0300800	chr4	+	252051	266529	252579	266389	11	252051,252560,254890,257020,257894,260939,261270,263086,263795,264259,265805,	252226,252603,254971,257101,258185,261024,261459,263305,264211,264374,266529,	FBgn0039897	CG1674	CG1674
FBtr0308086	chr4	+	252051	266529	252579	266389	13	252051,252560,254890,255489,257020,257894,260939,261270,263086,263795,264259,265043,265805,	252226,252603,254971,255570,257101,258185,261024,261459,263305,264211,264374,265460,266529,	FBgn0039897	CG1674	CG1674
FBtr0308087	chr4	+	252051	266529	252579	266389	14	252051,252560,254890,255489,257020,257894,260563,260939,261270,263086,263795,264259,265043,265805,	252226,252603,254971,255570,257101,258185,260698,261024,261459,263305,264211,264374,265460,266529,	FBgn0039897	CG1674	CG1674
FBtr0333671	chr4	+	252051	266529	252579	266389	12	252051,252560,252904,254890,257020,257894,260939,261270,263113,263891,264259,265805,	252253,252603,253474,254971,257101,258185,261024,261459,263305,264211,264374,266529,	FBgn0039897	CG1674	CG1674
FBtr0300797	chr4	+	252475	266529	252579	266389	11	252475,252904,254890,257020,257894,260939,261270,263086,263795,264259,265805,	252603,253474,254971,257101,258185,261024,261459,263305,264211,264374,266529,	FBgn0039897	CG1674	CG1674
FBtr0089124	chr4	+	380577	393410	381316	393018	13	380577,381212,382929,383296,383571,384119,384493,386299,390132,390435,391716,392438,392875,	380601,381632,383239,383508,383760,384265,385567,387388,390370,390590,391983,392802,393410,	FBgn0039904	Hcf	Hcf
FBtr0089125	chr4	+	380587	393410	381316	393018	13	380587,381212,382929,383296,383571,384119,384493,386299,390132,390435,391716,392438,392875,	380606,381632,383239,383508,383760,384265,385567,387388,390370,390590,391983,392802,393410,	FBgn0039904	Hcf	Hcf
FBtr0089127	chr4	+	380602	395599	381316	393018	13	380602,381212,382929,383296,383571,384119,384493,386299,390132,390435,391716,392438,392875,	380645,381632,383239,383508,383760,384265,385567,387388,390370,390590,391983,392802,395599,	FBgn0039904	Hcf	Hcf
FBtr0089126	chr4	+	380602	393410	381316	393018	13	380602,381212,382929,383296,383571,384119,384493,386299,390132,390435,391716,392438,392875,	380910,381632,383239,383508,383760,384265,385567,387388,390370,390590,391983,392802,393410,	FBgn0039904	Hcf	Hcf
FBtr0307379	chr4	+	380602	393410	381316	393018	14	380602,381212,382929,383296,383571,384119,384493,386299,386485,390132,390435,391716,392438,392875,	380910,381632,383239,383508,383760,384271,385567,386431,387388,390370,390590,391983,392802,393410,	FBgn0039904	Hcf	Hcf
FBtr0089070	chr4	+	522435	560418	542129	559180	14	522435,524476,536207,542098,544956,545529,550318,551781,552061,553408,553608,557800,559163,559284,	522483,524764,536257,543730,545138,547146,551719,552005,552409,553552,556506,558386,559230,560418,	FBgn0004607	zfh2	zfh2
FBtr0307167	chr4	+	522435	560418	542129	559180	14	522435,524476,536207,542098,544956,545529,550318,551784,552061,553411,553608,557800,559163,559284,	522483,524764,536257,543730,545138,547146,551719,552005,552409,553552,556506,558386,559230,560418,	FBgn0004607	zfh2	zfh2
FBtr0332913	chr4	+	522435	558999	542129	557594	13	522435,524476,536207,542098,544956,545529,550318,551781,552061,553408,553608,557591,557800,	522483,524764,536257,543730,545138,547146,551719,552005,552409,553552,556506,557701,558999,	FBgn0004607	zfh2	zfh2
FBtr0089971	chr4	+	650318	655978	650461	654676	10	650318,652252,652653,652833,653073,653954,654116,654586,654802,655035,	650605,652520,652755,653014,653341,654058,654486,654750,654970,655978,	FBgn0039915	CG1732	CG1732
FBtr0089972	chr4	+	650318	655978	650461	655137	10	650318,652252,652653,652833,653073,653954,654116,654546,654802,655035,	650605,652520,652755,653014,653341,654058,654486,654750,654970,655978,	FBgn0039915	CG1732	CG1732
FBtr0089793	chr4	+	745029	796707	746342	796175	41	745029,746294,747287,748086,748729,751402,751688,752185,753842,754545,754904,755103,755339,756140,756530,756774,757444,758361,759578,763028,763413,765791,765997,767101,767932,771195,772802,773650,773963,774912,778146,778490,778845,788387,789429,791178,793028,794642,794810,795002,795540,	745117,746655,747309,748249,748871,751626,752091,752859,754190,754590,755027,755163,755438,756449,756656,756813,757672,758535,759614,763176,763787,765917,766697,767455,769645,772095,773566,773786,774854,777585,778428,778790,788316,789366,789771,792221,793085,794743,794937,795305,796707,	FBgn0005666	bt	bt
FBtr0301340	chr4	+	745029	796707	746342	796175	46	745029,746294,747287,748086,748729,749298,749627,749899,751402,751688,752185,753842,754545,754904,755103,755339,756140,756530,756774,756964,757444,758361,759578,760574,763028,763413,765791,765997,767101,767932,771195,772802,773650,773963,774912,778146,778490,778845,788387,789429,791178,793028,794642,794810,795002,795540,	745117,746655,747309,748249,748871,749440,749828,750201,751626,752091,752859,754190,754590,755027,755163,755438,756449,756656,756813,757141,757672,758535,759614,760607,763176,763787,765917,766697,767455,769645,772095,773566,773786,774854,777585,778428,778790,788316,789366,789771,792221,793085,794743,794937,795305,796707,	FBgn0005666	bt	bt
FBtr0301341	chr4	+	745029	796707	749670	796175	45	745029,746294,747287,747557,748086,748729,749298,749627,749899,751402,751688,752185,753842,754545,754904,755103,755339,756140,756530,756774,757444,758361,759578,763028,763413,765791,765997,767101,767932,771195,772802,773650,773963,774912,778146,778490,778845,788387,789429,791178,793028,794642,794810,795002,795540,	745117,746655,747309,747588,748249,748871,749440,749828,750201,751626,752091,752859,754190,754590,755027,755163,755438,756449,756656,756813,757672,758535,759614,763176,763787,765917,766697,767455,769645,772095,773566,773786,774854,777585,778428,778790,788316,789366,789771,792221,793085,794743,794937,795305,796707,	FBgn0005666	bt	bt
FBtr0308805	chr4	-	889295	925419	892118	923968	23	889295,892345,892537,892752,893839,894260,894619,894871,895828,896168,896739,896921,897142,897495,899476,902468,903586,903768,904192,906385,919018,923962,924986,	892280,892472,892700,892851,894197,894552,894786,895093,896110,896336,896865,897080,897415,897820,899618,902575,903707,903988,904267,906517,923908,924097,925419,	FBgn0025726	unc-13	unc-13
FBtr0089245	chr4	-	891555	925419	892118	923968	23	891555,892345,892537,892752,893839,894260,894619,894871,895828,896168,896739,896921,897142,897495,899476,902468,903586,903768,904192,906385,919018,923962,924986,	892280,892472,892700,892851,894197,894552,894786,895093,896110,896336,896865,897080,897415,897820,899618,902575,903707,903988,904267,906517,923908,924097,925419,	FBgn0025726	unc-13	unc-13
FBtr0089246	chr4	-	891555	925419	892118	923968	24	891555,892345,892537,892752,893839,894260,894619,894871,895828,896168,896739,896921,897142,897495,899476,903242,903586,903768,904192,906079,906385,919018,923962,924986,	892280,892472,892700,892851,894197,894552,894786,895093,896110,896336,896865,897080,897415,897820,899618,903349,903707,903988,904267,906088,906517,923908,924097,925419,	FBgn0025726	unc-13	unc-13
